prob,N,vPOC,vSUR,vSTO,instance,statusPOC,statusSTO,timePOC,noIterPOC,timeSUR,objPOC,objSUR,objSTO,nswPOC,nswSUR,nswSTO,timeSTO,noIterSTO,wi
calcium,2,1,0,2,126,Maxiter,MaxiterPOC,,,,,,,,,,,,
calcium,2,1,0,2,127,success,success,892.59992,507,,1959.284,,4412.6867,0.015876421,,1.0,1591.6218799999997,686,"['0.8873323932449596', ' 0.9032088141106843']"
calcium,2,1,0,2,128,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,129,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,130,success,success,1329.7265,563,,1959.284,,4412.6867,0.015876421,,1.0,1599.7009999999998,635,"['0.8873323932449485', ' 0.9032088141106753']"
calcium,2,1,0,2,131,success,success,907.304,526,,1959.284,,4412.6867,0.015876421,,1.0,1435.1974999999998,602,"['0.8873323932449387', ' 0.9032088141106707']"
calcium,2,1,0,2,132,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,133,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,134,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,135,success,TimeLimit,2657.424,899,,1959.284,,,0.015876421,,,,,"['0.8873323932449400', ' 0.9032088141106679']"
calcium,2,1,0,2,136,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,137,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,138,success,success,972.50925,574,,1959.284,,4412.6867,0.015876421,,1.0,1394.51075,579,"['0.8873323932449405', ' 0.9032088141106626']"
calcium,2,1,0,2,139,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,140,success,success,1048.5803,415,,1959.284,,4412.6867,0.015876421,,1.0,1475.8651,621,"['0.8873323932449666', ' 0.9032088141106862']"
calcium,2,1,0,2,141,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,142,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,143,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,144,success,success,1259.2273,723,,1959.284,,4412.6867,0.015876421,,1.0,1834.6994,793,"['0.8873323932449385', ' 0.9032088141106748']"
calcium,2,1,0,2,145,success,success,299.93105,155,,1959.284,,4412.6867,0.015876421,,1.0,1070.3589499999998,454,"['0.8873323932449636', ' 0.9032088141106908']"
calcium,2,1,0,2,146,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,147,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,148,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,149,success,success,801.15496,457,,1959.284,,4412.6867,0.015876421,,1.0,1172.80604,476,"['0.8873323932449442', ' 0.9032088141106736']"
calcium,2,1,0,2,150,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,151,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,152,success,success,405.58862,197,,1959.284,,4412.6867,0.015876421,,1.0,1083.65348,472,"['0.8873323932449296', ' 0.9032088141106627']"
calcium,2,1,0,2,153,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,154,Maxiter,MaxiterPOC,,,,,,,,,,,,
calcium,2,1,0,2,155,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,156,success,TimeLimit,2407.7865,1349,,1959.284,,,0.015876421,,,,,"['0.8873323932449484', ' 0.9032088141106793']"
calcium,2,1,0,2,157,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,158,success,success,404.55559,187,,1959.284,,4412.6867,0.015876421,,1.0,1099.58651,479,"['0.8873323932449522', ' 0.9032088141106865']"
calcium,2,1,0,2,159,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,160,success,success,321.77165,161,,1959.284,,4412.6867,0.015876421,,1.0,1287.4592499999999,544,"['0.8873323932449472', ' 0.9032088141106737']"
calcium,2,1,0,2,161,success,TimeLimit,3037.3332,334,,1959.284,,,0.015876421,,,,,"['0.8873323932449401', ' 0.9032088141106682']"
calcium,2,1,0,2,162,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,163,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,164,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,165,success,success,1230.2439,742,,1959.284,,4412.6867,0.015876421,,1.0,1172.4515000000001,508,"['0.8873323932449426', ' 0.9032088141106720']"
calcium,2,1,0,2,166,success,success,464.98023,281,,1959.284,,4412.6867,0.015876421,,1.0,1215.1570700000002,543,"['0.8873323932449559', ' 0.9032088141106808']"
calcium,2,1,0,2,167,success,success,890.82781,473,,1959.284,,4412.6867,0.015876421,,1.0,1022.50359,441,"['0.8873323932449488', ' 0.9032088141106835']"
calcium,2,1,0,2,168,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,169,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,170,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,171,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,172,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,173,success,success,458.87982,288,,1959.284,,4412.6867,0.015876421,,1.0,1306.20658,573,"['0.8873323932449446', ' 0.9032088141106740']"
calcium,2,1,0,2,174,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,175,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,176,success,success,184.46141,107,,1959.284,,4412.6867,0.015876421,,1.0,1212.9965900000002,530,"['0.8873323932449629', ' 0.9032088141106843']"
calcium,2,1,0,2,177,success,success,545.12848,293,,1959.284,,4412.6867,0.015876421,,1.0,1209.59982,530,"['0.8873323932449556', ' 0.9032088141106878']"
calcium,2,1,0,2,178,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,179,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,180,success,success,370.14671,149,,1959.284,,4412.6867,0.015876421,,1.0,1078.01379,465,"['0.8873323932449549', ' 0.9032088141106807']"
calcium,2,1,0,2,181,success,success,690.4297,391,,1959.284,,4412.6867,0.015876421,,1.0,1010.1123999999999,418,"['0.8873323932449535', ' 0.9032088141106878']"
calcium,2,1,0,2,182,success,success,634.72703,387,,1959.284,,4412.6867,0.015876421,,1.0,1130.63197,497,"['0.8873323932449488', ' 0.9032088141106942']"
calcium,2,1,0,2,183,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,184,success,success,1679.2127,859,,1959.284,,4412.6867,0.015876421,,1.0,1642.5003000000002,688,"['0.8873323932449635', ' 0.9032088141106960']"
calcium,2,1,0,2,185,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,186,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,187,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,188,success,success,849.85762,492,,1959.284,,4412.6867,0.015876421,,1.0,1021.44318,445,"['0.8873323932449501', ' 0.9032088141106773']"
calcium,2,1,0,2,189,success,TimeLimit,2117.4588,1352,,1959.284,,,0.015876421,,,,,"['0.8873323932449415', ' 0.9032088141106631']"
calcium,2,1,0,2,190,success,success,484.0398,277,,1959.284,,4412.6867,0.015876421,,1.0,1319.5919,572,"['0.8873323932449321', ' 0.9032088141106646']"
calcium,2,1,0,2,191,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,192,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,193,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,194,success,success,991.50253,620,,1959.284,,4412.6867,0.015876421,,1.0,1413.31697,612,"['0.8873323932449457', ' 0.9032088141106727']"
calcium,2,1,0,2,195,success,success,729.2055,445,,1959.284,,4412.6867,0.015876421,,1.0,1185.6633,525,"['0.8873323932449531', ' 0.9032088141106850']"
calcium,2,1,0,2,196,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,197,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,198,success,success,215.1744,125,,1959.284,,4412.6867,0.015876421,,1.0,2038.4680000000003,899,"['0.8873323932449495', ' 0.9032088141106783']"
calcium,2,1,0,2,199,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,200,success,success,690.05135,374,,1959.284,,4412.6867,0.015876421,,1.0,1413.40115,598,"['0.8873323932449279', ' 0.9032088141106605']"
calcium,2,2,0,1,101,success,success,131.49776,79,,4418.2983,,4412.6867,0.63392335,,1.0,2128.35234,884,"['0.2383241562948344', ' 0.8722475053481686']"
calcium,2,2,0,1,102,success,success,105.91485,59,,4418.2983,,4412.6867,0.63392335,,1.0,2656.78805,1164,"['0.2383241562948406', ' 0.8722475053481589']"
calcium,2,2,0,1,103,success,success,116.44161,68,,4418.2983,,4412.6867,0.63392335,,1.0,3226.2769900000003,1357,"['0.2383241562948464', ' 0.8722475053481579']"
calcium,2,2,0,1,104,success,TimeLimit,150.78664,87,,4418.2983,,,0.63392335,,,,,"['0.2383241562948628', ' 0.8722475053481535']"
calcium,2,2,0,1,105,success,success,100.43413,58,,4418.2983,,4412.6867,0.63392335,,1.0,2917.1462699999997,1249,"['0.2383241562948545', ' 0.8722475053481699']"
calcium,2,2,0,1,106,success,TimeLimit,571.62161,335,,1959.284,,,0.015876421,,,,,"['0.8873323932449491', ' 0.9032088141106716']"
calcium,2,2,0,1,107,success,success,258.79697,157,,4418.2983,,4412.6867,0.63392335,,1.0,3237.1959300000003,1333,"['0.2383241562947788', ' 0.8722475053481499']"
calcium,2,2,0,1,108,success,TimeLimit,351.22616,197,,1959.284,,,0.015876421,,,,,"['0.8873323932449366', ' 0.9032088141106671']"
calcium,2,2,0,1,109,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,2,0,1,110,success,success,126.55425,72,,4418.2983,,4412.6867,0.63392335,,1.0,2881.6572499999997,1213,"['0.2383241562949039', ' 0.8722475053481519']"
calcium,2,2,0,1,111,success,success,95.361064,54,,4418.2983,,4412.6867,0.63392335,,1.0,3177.961836,1347,"['0.2383241562948549', ' 0.8722475053481437']"
calcium,2,2,0,1,112,success,TimeLimit,399.93301,233,,4418.2983,,,0.63392335,,,,,"['0.2383241562948724', ' 0.8722475053481702']"
calcium,2,2,0,1,113,success,TimeLimit,87.556236,49,,4418.2983,,,0.63392335,,,,,"['0.2383241562948335', ' 0.8722475053481600']"
calcium,2,2,0,1,114,success,success,190.24747,105,,4418.2983,,4412.6867,0.63392335,,1.0,2352.0833300000004,996,"['0.2383241562948305', ' 0.8722475053481741']"
calcium,2,2,0,1,115,success,success,268.3203,153,,4418.2983,,4412.6867,0.63392335,,1.0,3362.5155,1448,"['0.2383241562949019', ' 0.8722475053481953']"
calcium,2,2,0,1,116,success,success,101.21596,56,,4418.2983,,4412.6867,0.63392335,,1.0,3154.47764,1336,"['0.2383241562948244', ' 0.8722475053481660']"
calcium,2,2,0,1,117,success,success,269.3998,167,,4418.2983,,4412.6867,0.63392335,,1.0,3164.3410999999996,1352,"['0.2383241562956499', ' 0.8722475053481191']"
calcium,2,2,0,1,118,success,TimeLimit,65.246761,31,,1959.284,,,0.015876421,,,,,"['0.8873323932449513', ' 0.9032088141106782']"
calcium,2,2,0,1,119,success,success,294.21597,173,,4418.2983,,4412.6867,0.63392335,,1.0,2873.4456299999997,1214,"['0.2383241562948355', ' 0.8722475053481470']"
calcium,2,2,0,1,120,success,TimeLimit,635.62206,395,,4418.2983,,,0.63392335,,,,,"['0.2383241562947889', ' 0.8722475053481691']"
calcium,2,2,0,1,121,success,TimeLimit,553.22311,315,,1959.284,,,0.015876421,,,,,"['0.8873323932449384', ' 0.9032088141106719']"
calcium,2,2,0,1,122,success,TimeLimit,377.31916,214,,4418.2983,,,0.63392335,,,,,"['0.2383241562948782', ' 0.8722475053481530']"
calcium,2,2,0,1,123,success,TimeLimit,426.94197,216,,1959.284,,,0.015876421,,,,,"['0.8873323932449414', ' 0.9032088141106722']"
calcium,2,2,0,1,124,success,success,274.77624,156,,4418.2983,,4412.6867,0.63392335,,1.0,3101.07446,1327,"['0.2383241562948600', ' 0.8722475053481713']"
calcium,2,2,0,1,125,success,TimeLimit,1807.9561,1131,,4418.2983,,,0.63392335,,,,,"['0.2383241562948160', ' 0.8722475053481805']"
calcium,2,2,0,1,126,success,success,445.84921,261,,4418.2983,,4412.6867,0.63392335,,1.0,3076.61769,1325,"['0.2383241562948090', ' 0.8722475053481881']"
calcium,2,2,0,1,127,success,success,305.17242,169,,4418.2983,,4412.6867,0.63392335,,1.0,2954.24678,1239,"['0.2383241562948498', ' 0.8722475053481756']"
calcium,2,2,0,1,128,success,success,126.33979,71,,4418.2983,,4412.6867,0.63392335,,1.0,3192.67591,1357,"['0.2383241562948453', ' 0.8722475053481321']"
calcium,2,2,0,1,129,success,TimeLimit,688.85308,405,,4418.2983,,,0.63392335,,,,,"['0.2383241562948718', ' 0.8722475053481544']"
calcium,2,2,0,1,130,success,TimeLimit,633.71827,377,,4418.2983,,,0.63392335,,,,,"['0.2383241562948047', ' 0.8722475053481558']"
calcium,2,2,0,1,131,success,TimeLimit,499.60079,296,,4418.2983,,,0.63392335,,,,,"['0.2383241562948381', ' 0.8722475053481380']"
